"Context","Источник/Перевод"
"optionFactoryFirstText","Эта опция будет сопоставлять поступающие заказы от заводов на ранней стадии процесса согласования, чтобы обеспечить заводы ближайшим доступным предложением, для улучшения работы."
"",""
"GROUP_EXPORTIMPORT_OPTIONS","Параметры внешних соединений"
"OutsidePriorityDescription","These priorities will be applied in the matching process to make the outside connections more or less likely to be matched."
"txtCargoPriority","Cargo Priority"
"txtCitizenPriority","Citizen Priority"
"",""
"GROUP_EXPERIMENTAL_DEATHCARE","Ритуальные службы/Вывоз мусора"
"optionDeathcareExperimental","Улучшенные перемещения катафалков"
"optionGarbageExperimental","Улучшенные перемещения мусоровозов"
"optionPoliceExperimental","Улучшенные перемещения полиции"
"optionImprovedMailTransfers","Улучшенное перемещение почты"
"txtDeathcareExperimental","По умолчанию кладбища, свалки и полицейские участки отправляют предложение о перевозке для одного транспортного средства за раз. Этот параметр изменяет предложение на количество доступных транспортных средств, что может привести к улучшению соответствия.\r\nТеперь он также увеличивает приоритет предложения, когда используется менее 1/2 транспортных средств."
"",""
"GROUP_TRANSFERISSUE_PANEL","Панель передачи проблем"
"keyOpenTransferIssuePanel","Открыть панель передачи проблем"
"optionShowIssuesWithVehiclesOnRoute","Показать проблемы с транспортными средствами на маршруте"
"sliderTransferIssueDeleteResolvedDelay","Удалить исправленную задержку"
"",""
"GROUP_STATISTICS_PANEL","Панель статистики"
"keyOpenStatisticsPanel","Открыть панель статистики"
"StatisticsPanelEnabled","Включить статистику"
"btnResetTransferManagerSettings","Сбросить все настройки Transfer Manager"
"btnResetPathingStatistics","Сброс маршрута"
"buttonResetTransferStatistics","Сбросить статистику перемещений"
"tabBuildingPanelSettings","Настройки"
"",""
"GROUP_BUILDINGPANEL_SERVICES","Настройки городских служб"
"",""
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","Внешние соединения"
"dropdownBuildingPanelImportExport","Импорт/Экспорт"
"",""
"GROUP_BUILDINGPANEL_OUTSIDE_PRIORITY","Outside Connection Priority"
"txtOutsideConnectionCurrentCargoPriority","Current Cargo Priority"
"txtOutsideConnectionCurrentCitizenPriority","Current Citizen Priority"
"",""
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","Настройки доставки товаров"
"chkBuildingPanelReserveWarehouseTrucks","Резерв грузовых автомобилей склада для местных перевозок"
"",""
"tabBuildingPanelStatus","Статус"
"tabBuildingPanelStops","Stops"
"tabBuildingPanelTransfers","Перевозки"
"",""
"listBuildingPanelStatusColumn1","Материал"
"listBuildingPanelStatusColumn2","Ценность"
"listBuildingPanelStatusColumn3","Исполнитель"
"listBuildingPanelStatusColumn4","ТС"
"listBuildingPanelStatusColumn5","Таймер"
"",""
"labelBuildingPanelOffers","Трансферные предложения"
"labelBuildingPanelMatchOffers","Совпадения"
"listBuildingPanelOffersColumn1","Вх./Исх."
"listBuildingPanelOffersColumn2","Материал"
"listBuildingPanelOffersColumn3","Приоритет"
"listBuildingPanelOffersColumn4","Активно"
"listBuildingPanelOffersColumn5","Количество"
"listBuildingPanelOffersColumn6","Описание"
"listBuildingPanelMatchesColumn1","Время"
"listBuildingPanelMatchesColumn2","Материал"
"listBuildingPanelMatchesColumn3","Активно"
"listBuildingPanelMatchesColumn4","Количество"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","Описание"
"titleTransferIssuesPanel","Проблемы с перемещением"
"tabTransferIssuesPathing","Путь"
"tabTransferIssues","Проблемы"
"listPathingColumn1","Время"
"listPathingColumn2","Источник"
"listPathingColumn3","Цель"
"tabTransferIssuesDead","Умершие"
"txtIssue","Проблема"
"listDeadColumn1","Умершие"
"listDeadColumn2","Таймер"
"listDeadColumn3","Источник"
"listDeadColumn4","Цель"
"listDeadColumn5","ТС"
"tabTransferIssuesSick","Больные"
"listSickColumn1","Больные"
"listBuildingPanelVehicleTarget","Цель"
"dropdownBuildingPanelPreferLocalLabel","Ограничения районов"
"dropdownBuildingPanelPreferLocal1","Все районы"
"dropdownBuildingPanelPreferLocal2","В пределах района"
"dropdownBuildingPanelPreferLocal3","Только в районе"
"dropdownBuildingPanelPreferLocal4","Все районы, кроме"
"tabTransferIssuesOutside","Вне"
"",""
"GROUP_BUILDING_PANEL","Панель здания"
"keyOpenBuildingPanel","Открыть панель здания"
"",""
"GROUP_LOCALISATION","Локализация"
"dropdownLocalization","Язык"
"tabBuildingPanelVehicles","ТС"
"txtBuildingPanelTransferManagerWarning","Предупреждение. Эти настройки требуют включения Custom Transfer Manager."
"tabTransferIssuesGoods","Входящие товары"
"tabTransferIssuesGoodsOut","Исходящие товары"
"chkShowIssuesWithVehicles","Показать проблемы с транспортными средствами на маршруте"
"",""
"GROUP_BUILDINGPANEL_DISTRICT","Районные ограничения"
"dropdownBuildingPanelOutgoingPreferLocalLabel","Исходящие"
"dropdownBuildingPanelIncomingPreferLocalLabel","Входящие"
"chkAllowImport","Разрешить импорт"
"chkAllowExport","Разрешить экспорт"
"",""
"GROUP_BUILDINGPANEL_APPLYTOALL","Применить к зданиям этого типа"
"txtApplyToBuilding","Применить к зданиям"
"tabExperimental","Экспериментально"
"chkDistrictAllowServices","Разрешить службы (мусор, пожарная служба, полиция...)"
"",""
"GROUP_DISTANCE_LIMITS","Ограничения по расстоянию"
"tabDistanceRestrictions","Расстояние"
"sliderDeathcareDistanceLimits","Ограничение расстояния для ритуальных служб (км)"
"sliderHealthcareDistanceLimits","Ограничение расстояния для медучреждений (км)"
"sliderGarbageDistanceLimits","Ограничение расстояния для мусоровозов (км)"
"sliderPoliceDistanceLimits","Ограничение расстояния для полиции (км)"
"sliderFireDistanceLimits","Ограничение расстояния для пожарных (км)"
"sliderMailDistanceLimits","Ограничение расстояния для почты (км)"
"txtDistanceLimits","Максимально допустимое расстояние совпадения, 0 = Не ограничено.\r\n Импорт/Экспорт не затрагиваются."
"tabVehicleAI","ИИ автомобиля"
"",""
"GROUP_VEHICLE_AI","Включить/отключить ИИ автомобиля"
"optionFireTruckAI","Пожарная машина"
"optionFireCopterAI","Пожарный вертолёт"
"optionPostVanAI","Post Van"
"optionGarbageTruckAI","Мусоровоз"
"optionPoliceCarAI","Полицейская машина"
"optionPoliceCopterAI","Полицейский вертолёт"
"txtVehicleAIDescription","VehicleAI улучшает транспортные средства, чтобы искать близлежащие проблемы для решения."
"tabImportExport","Импорт/Экспорт"
"",""
"GROUP_IMPORT_RESTRICTIONS","Разрешить импорт"
"txtImportRestrictions","Пожалуйста, убедитесь, что у вас достаточно внутреннего производства, прежде чем отключать эти ресурсы."
"sliderWarehouseReservePercent","Резервные грузовики для местной доставки (%)"
"sliderWarehouseReservePercentLocal","Резервные грузовики (%)"
"",""
"GROUP_DUMMY_TRAFFIC","Фиктивный трафик"
"optionDummyTraffic","Отключить фиктивный трафик"
"txtDummyTraffic","В игру добавлен фиктивный трафик, чтобы город казался более живым. Эта опция блокирует фиктивные передачи трафика, чтобы уменьшить трафик в городе."
"optionWarehouseOverride","Переопределить глобальные настройки"
"",""
"GROUP_OUTSIDE_CONNECTIONS_PANEL","Панель внешних соединений"
"listConnectionName","Название"
"listConnectionType","Тип"
"listConnectionInOut","In / Out"
"listConnectionUsage","Usage"
"listConnectionGuest","Гостевой транспорт"
"listConnectionOwn","Собственный транспорт"
"listConnectionStuck","Застрял"
"listConnectionCargoPriority","Cargo"
"listConnectionCitizenPriority","Citizens"
"listConnectionImport","Импорт"
"listConnectionExport","Экспорт"
"titleOutsideConnectionPanel","Внешние соединения"
"keyOpenOutsidePanel","Открыть панель внешних соединений"
"txtDetectedDistricts","Обнаруженные районы"
"btnDistricts","Районы"
"btnDistrict","Район"
"btnPark","Зона"
"btnMap","Карта"
"txtNone","Нет"
"txtVehiclesNone","Нет"
"txtStatusNone","Нет"
"",""
"GROUP_BUILDINGPANEL_DISTANCE_RESTRICTIONS","Ограничения по расстоянию"
"sliderDistanceRestriction","Максимальное соответствие расстоянию (км)"
"sliderDistanceRestrictionTooltip","0 = Использовать глобальные настройки, если есть или нет ограничений.\r\n1+ = Максимальное соответствие расстоянию"
"titleDistrictPanel","Выбрать районы"
"txtAllowedDistricts","Разрешённые районы"
"txtBlockedDistricts","Заблокированные районы"
"txtCurrentDistrict","Текущий район"
"txtCurrentPark","Текущая зона"
"txtLoad","Загрузить"
"",""
"GROUP_IMPROVED_SERVICES_MATCHING","Улучшенное соответствие служб"
"tabMatches","Соответствия"
"titleTransferStatsPanel","Статистика Transfer Manager"
"sliderOutsideCargoCapacity","Грузоподъёмность"
"sliderOutsideResidentCapacity","Количество жителей"
"sliderOutsideTouristFactor0","Туристический фактор 0"
"sliderOutsideTouristFactor1","Туристический фактор 1"
"sliderOutsideTouristFactor2","Туристический фактор 2"
"sliderOutsideDummyTrafficFactor","Фактор фиктивного трафика"
"btnOutsideReset","Сброс"
"",""
"GROUP_OUTSIDE_SETTINGS","Параметры внешнего соединения"
"",""
"GROUP_BALANCED_MATCH_MODE","Сбалансированный режим"
"dropdownBalancedTitle","Первым совпадающее, при равенстве"
"dropdownBalancedModeIncomingFirst","Первым совпадающее с входящим (как по умолчанию)"
"dropdownBalancedModeLeastFirst","Первым с наименьшим количеством предложений"
"dropdownBalancedModePassiveFirst","Первыми пассивные"
"txtBalancedMatch","Выберите, какое предложение будет сопоставляться первым, если входящие и исходящие предложения имеют одинаковый приоритет."
"",""
"GROUP_PATH_DISTANCE","Алгоритм соответствия расстоянию"
"optionPathDistanceServices","Использовать длину пути для сервисов"
"optionPathDistanceGoods","Использовать длину пути для товаров"
"dropdownPathDistanceAlgorithmServices","Алгоритм Сервисов"
"dropdownPathDistanceAlgorithmGoods","Алгоритм Товаров"
"dropdownPathDistanceLOS","Line of Sight"
"dropdownPathDistanceConnectedLOS","Connected Line of Sight"
"dropdownPathDistance","Расстояние пути"
"txtPathDistance","Используйте длину пути вместо расстояния прямой видимости. Это приведёт к лучшему соответствию, когда ваша сеть или географическое положение являются сложными, но медленными, поэтому убедитесь, что ваш компьютер достаточно быстр для этой опции."
"optionHighlightMatches","Подсвечивать совпадения"
"listBuildingPanelOffersPark","Парк"
"tabTransferRoadAccess","Нет доступа к дороге"
"btnResetRoadAccess","Сбросить доступ к дороге"
"tabGame","Игра"
"btnDeleteVehicle","Удалить транспортное средство"
"tabMaintenance","Техобслуживание"
"GROUP_Maintenance","Техобслуживание"
"btnReleaseGhostVehicles","Разблокировать застрявший транспорт"
"txtReleaseGhostVehicles","Найти транспортные средства, которые застряли или не имеют действительного положения или статуса, и разблокировать их."
"btnReleaseBrokenPathing","Исправить нерабочие дороги"
"txtBrokenPathUnits","Найти участки дороги, которые были построены неправильно и не используются, для перестройки их должным образом."
"txtGhostVehiclesCount","Застрявшие автомобили разблокированы"
"",""
"GROUP_MAINTENANCE_PATHING","Отладка пути"
"dropdownConnectionGraph","Показать график соединения маршрутов"
"dropdownConnectionGraphNone","Нет"
"dropdownConnectionGraphGoods","Товары"
"dropdownConnectionGraphPedestrianZoneServices","Услуги Пешеходной зоны"
"dropdownConnectionGraphOtherServices","Другие услуги"
"txtShowConnectionGraph","This option will color each node to show whether they are connected or not according to the Transfer Manager algorithm. Nodes with the same color are connected, differently colored nodes are not."
"",""
"tabBuildingPanelCapacity","Вместимость"
"sliderTransferIssueDeadTimerValue","Порог таймера смерти"
"sliderTransferIssueSickTimerValue","Порог таймера болезни"
"sliderTransferIssueGoodsTimerValue","Порог таймера товаров"
"",""
"GROUP_SICK_COLLECTION","Сбор больных граждан"
"txtOverrideSickHandler","The vanilla sick handler has very little in game consequences, citizens will occasionally be forced to move home and very rarely a building will become abandoned. This option overrides the vanilla sick handler with a custom handler where citizens will often die if no ambulance arrives in time."
"optionOverrideSickHandler","Override Sick Handler"
"txtSickSadNotification","Display sad notification when there are sick to be collected but no normal sick issues with the building."
"optionDisplaySickNotification","Display Sad Notification"
"optionSickHelicopterRate","Helicopter Request Rate"
"txtSickHelicopterRate","How often will the citizens request a helicopter instead of an ambulance."
"optionSickWalkRate","Walk Request Rate"
"txtSickWalkRate","How often are the citizens willing to walk to the hospital instead of getting an ambulance."
"",""
"GROUP_CRIME","Crime"
"txtToughOnCrime","Increase police presence in the city to reduce crime rates"
"optionPoliceToughOnCrime","Tough on crime"
"",""
"GROUP_BUILDINGPANEL_BUILDING_RESTRICTIONS","Ограничения для зданий"
"btnBuildingRestrictions","Здания…"
"btnBuildingRestrictionsSelected","Выбор зданий"
"txtBuildingRestrictionsIncoming","Входящие"
"txtBuildingRestrictionsOutgoing","Исходящие"
"txtBuildingRestrictionsAllBuildings","Все здания"
"txtBuildingRestrictionsRestricted","Ограничено"
"txtAllowedBuildings","Allowed Buildings"
"btnClear","Очистить"
"",""
"reasonGoodsIn","Входящие товары"
"reasonStudent1","Студенты"
"reasonStudent2","Студенты"
"reasonStudent3","Студенты"
"reasonCrime","Преступники"
"reasonCrimeMove","Перевозка преступников"
"reasonGarbage","Мусор"
"reasonGarbageMove","Вывоз мусора"
"reasonGarbageTransfer","Перемещение мусора"
"reasonDead","Вывоз умерших"
"reasonDeadMove","Перемещение умерших"
"reasonSick","Вывоз больных"
"reasonSickMove","Перемещение больных"
"reasonFire","Пожар"
"reasonFire2","Пожарный вертолёт"
"reasonForestFire","Лесной пожар"
"reasonMaterialOut","Исходящий материал"
"reasonMail","Почта"
"reasonMail2","Large Mail"
"reasonUnsortedMail","Несортированная почта"
"reasonSortedMail","Отсортированная почта"
"reasonParkMaintenance","Обслуживание парков"
"reasonRoadMaintenance","Обслуживание дорог"
"reasonTaxi","Такси"
"reasonTaxiMove","TaxiMove"
"reasonCollapsed","Грузовики"
"reasonCollapsed2","Вертолёты"
"reasonRawMaterial","Сырьё"
"reasonIncomingMaterial","Входящий материал"
"reasonOutgoingMaterial","Исходящий материал"
"reasonWarehouse","Склад"
"reasonGoods","Товары"
"reasonCash","Сбор наличных"
"reasonFloodWater","Затоплено"
"reasonSnow","Уборка снега"
"reasonSnowMove","Перемещение снега"
"",""
"tooltipHighlightModeOff","Режим выделения: Выкл"
"tooltipHighlightModeMatches","Режим выделения: Совпадения\r\n\r\nKey\r\nКрасный: Выбранное здание\r\nПурпуоный: Услуги\r\nГолубой: Сырье\r\nСиний: Товары\r\nЗеденый: Почта\r\nЖелтый: Всё else"
"tooltipHighlightModeIssues","Highlight Mode: Issues\r\n\r\nKey\r\nRed: Selected Building\r\nCyan and Gold: Low Priority\r\nBlue and Orange: High Priority\r\nGreen: Other service buildings for this issue type"
"tooltipHighlightModeSettings","Highlight Mode: Settings\r\n\r\nKey\r\nRed: Building with settings."
"tooltipHighlightModeIssues2","Highlight Mode: Issues\r\n\r\nKey"
"",""
"GROUP_EXPORT_LIMITS","Ограничения ТС для экспорта"
"sliderExportVehicleLimit","Ограничение экспорта ТС здания(%)"
"txtExportVehicleLimit","Если ваши внешние соединения перегружены, вы можете использовать этот параметр, чтобы ограничить количество транспортных средств, которые каждое здание может выделить для экспорта.\r\n0% = Экспорт не разрешён\r\n100% = Неограниченный"
"optionImprovedWarehouseTransfer","Улучшенная передача склада"
"",""
"GROUP_VISUALS","Визуализация"
"optionEnablePanelTransparency","Включить прозрачность панели (требуется перезагрузка)"
"optionOverrideGenericIndustriesHandler","Переопределить обработчик Generic Industries"
"txtOverrideGenericIndustriesHandler","Обработчик Generic Industries, как правило, очень много запрашивает материалов, которые могут генерировать большой трафик грузовиков. Данный обработчик пытается исправить эти проблемы."
"",""
"GROUP_MAINTENANCE_LOGGING","Match Set Logging"
"dropdownLoggingReason","Log Reason"
"txtMatchLogging","This option will write out log files for each match set for the chosen reason. Warning: This produces a significant performance penalty, please only enable for trouble shooting purposes."
"txtMatchLoggingPath","Log File Path:\r\n"
"optionShowBuildingId","Show Building ID In Title"
"optionLogCitizenPathFailures","Log citizen path failures"
"txtLogCitizenPathFailureWarning","Warning: This option usually produces a large number of path failures and is only intended to help when debugging a buildings path issues."
"",""
"GROUP_PATH_FAIL_EXCLUSION","Path Failure"
"txtPathFailExclusion","Detect path failures and block any further matches between these failed objects for a while."
"optionPathFailExclusion","Path Failure Exclusion"
"dropdownCandidates","Log Candidates"
"dropdownAllCandidates","All Candidates"
"dropdownValidCandidates","Valid Candidates"
"dropdownExcludedCandidates","Excluded Candidates"
"dropdownNoCandidates","No Candidates"
"sliderPathDistanceHeuristic","Algorithm Performance"
"txtPathDistanceHeuristic","The path distance algorithm can use a heuristic to speed up the calculation, but this heuristic can reduce the accuracy of choosing the closest match in some situations."
"txtPathDistanceHeuristicKey","0% = Accurate (No Heuristic), 100% = Fast (Hueristic Only)"
"txtPathDistanceShift","The path distance algorithm adjusts the travel time of the last segment of an outside connection, within the algorithm, to allow applying the outside connection multipliers. By changing this value you can adjust the underlying base value that is applied to these segments."
"sliderPathDistanceShift","Multiplier Base Value (Travel Time)"
"txtPathUnitCount","Path Units Released"
"txtEnterBuildingId","Select Building or Enter Building ID"
"tooltipCopySettings","Copy Settings"
"tooltipPasteSettings","Paste Settings"
"tooltipClearSettings","Clear Settings"
"",""
"GROUP_TAXI_MOVE","Taxi Stand Usage"
"txtTaxiMove","This option makes the Taxi Stand the hub for taxi's rather than the depot. This means taxi's will now wait at stands near an airport or busy tourist district rather than be hidden at a taxi depot."
"optionTaxiMove","Improve Taxi Stand Usage"
"sliderTaxiStandDelay","Taxi Stand Delay"
"txtTaxiStandDelay","Add a small delay before a taxi, that is waiting at a stand, will make a taxi offer. This stops taxis from constantly arriving at a taxi stand then immediately being dispatched to pick up another citizen."
"tabAdvanced","Advanced"
"",""
"GROUP_PATCHES","Patches"
"txtAdvancedDescription","These patches are designed to fix issues in the vanilla game code that effect transfers. It is recommended to have them enabled unless troubleshooting an issue you are having."
"",""
"GROUP_SPAWN_PATCHES","Spawn Patches"
"optionForceCargoShipSpawn","Force cargo ships to spawn at outside connections."
"optionForcePassengerShipSpawn","Force passenger ships to spawn at outside connections."
"optionForceCargoPlaneSpawn","Force cargo planes to spawn at outside connections."
"optionForcePassengerPlaneSpawn","Force passenger planes to spawn at outside connections."
"optionForceAirportGateToSpawn","Force passenger planes to spawn at airport DLC gates."
"optionForceCargoTrainDespawnOutsideConnections","Force cargo trains to despawn at outside connections."
"optionForceCargoShipDespawnOutsideConnections","Force cargo ships to despawn at outside connections."
"optionForceCargoPlaneDespawnOutsideConnections","Force cargo planes to despawn at outside connections."
"",""
"GROUP_VEHICLE_PATCHES","Vehicle Patches"
"optionFixCargoTrucksDisappearingOutsideConnections","Fix cargo trucks spawning at outside connections then disappearing."
"optionResetStopMaxWaitTimeWhenNoPasengers","Reset stop max wait time when no passengers waiting at stop."
"optionFixBankVansStuckCargoStations","Fix bank vans getting stuck at cargo stations."
"optionFixPostVansStuckCargoStations","Fix post vans getting stuck at cargo stations."
"optionFixTransportStationNullReferenceException","Fix transport station null reference exception."
"optionFixPostTruckCollectingMail","Fix post trucks collecting mail after visiting a service point."
"",""
"GROUP_WAREHOUSE_PATCHES","Warehouse Patches"
"optionRemoveEmptyWarehouseLimit","Remove Empty mode warehouse capacity limitation (Requires restart)."
"optionFixFishWarehouses","Fix fish warehouses spawning fishing boats."
"",""
"GROUP_CARGO_WAREHOUSE_PATCHES","Cargo Warehouse Patches"
"optionFixCargoWarehouseExcludeFlag","Fix cargo warehouse offer missing exclude flag (Requires restart)."
"optionFixCargoWarehouseOfferRatio","Fix cargo warehouse offer ratio for more even usage."
"optionFixCargoWarehouseAccessSegment","Fix cargo warehouse pathing issues (incorrect access segment)."
"optionFixCargoWarehouseUnspawn","Fix cargo warehouse pathing issues (incorrect unspawn point)."
"",""
"GROUP_UNLIMITED","Unlimited Offer Amounts"
"txtApplyUnlimited","In a recent Cities Sylines update Colossal Order introduced an Unlimited flag to offers, usually for outside connections. This flag allows the offer to match any amount, enable this option to have this Transfer Manager apply this flag as well."
"txtApplyUnlimitedWarning","Warning: This option can produce a large amount of traffic when say a new warehouse is matched with an outside connection."
"optionApplyUnlimited","Apply Unlimited Offer Flag"
"txtAdditionalDistricts","Additional Districts"
"",""
"GROUP_INTERCITY_STOPS","Intercity Stops"
"txtIntercityStopSpawnAtCount","Force vehicle to spawn when the waiting passenger count reaches this value.\r\n0 = OFF"
"sliderForceTrainSpawnAtCount","Train Waiting Passenger Count"
"sliderForceShipSpawnAtCount","Ship Waiting Passenger Count"
"sliderForcePlaneSpawnAtCount","Plane Waiting Passenger Count"
"sliderForceBusSpawnAtCount","Bus Waiting Passenger Count"
"",""
"optionFixFindHospital","Patch ResidentAI.FindHospital (Requires restart)."
"txtFindHospital","There is a bad vanilla bug in ResidentAI.FindHospital that breaks sick, eldercare and childcare services."
"",""
"GROUP_OVEREDUCATED_WORKERS","Overeducated Workers"
"txtEmployOvereducatedWorkers","When this option is enabled, workers will occasionally apply for lower level jobs."
"optionEmployOverEducatedWorkers","Employ Overeducated Workers"
"",""
"GROUP_SICK_GENERATE","Sick Citizen Generatation"
"txtRandomSick","To increase hospital usage you can randomly make a citizen sick."
"txtRandomSickRate","Random Sick Rate"
"txtRandomSickRateScale","0 = OFF, 100 = Very High, 10000 = Very Low"
"",""
"sliderMainBuildingMaxMail","Main Building Max Mail"
"txtMainBuildingMaxMail","Main buildings collect all the mail for their areas. They have been created with a very low buffer limit of 2000, which results in constant demand for post vans to deliver mail. This option allows increasing their mail buffers so they will demand post vans less often."
"optionMainBuildingPostTruck","Use Post Trucks for Main Area Buildings"
"txtMainBuildingPostTruck","Post Trucks are used to collect mail from service points as they are less used and have larger mail capacity. This option will make them collect mail for main area buildings as well."
"",""
"GROUP_FIRETRUCK","Fire Truck"
"txtFiretruckExtinguishTrees","This option will make fire trucks extinguish nearby trees when putting out house fires."
"optionFiretruckExtinguishTrees","Fire Trucks Extinguish Trees"
"",""
"txtGlobalDistanceRestriction","Global Distance Restriction (km)"
"txtStatusHideVehicleReason","On the status tab of the building panel, hide the vehicles transfer reason when in a group. This option makes it easier to see what is happening on short lists but can be confusing on larger lists."
"optionStatusHideVehicleReason","Status Tab: Hide Vehicle Transfer Reason In Group"
"buttonResetPanelPosition","Reset Panel Position"
"columnPathFailureCount","Failure Count"
"columnId","Building ID"
"columnRestriction","Restrictions"
"issueGarbage","Garbage"
"issueIncoming","Incoming"
"issueOutgoing","Outgoing"
"issueNoServices","No Services"
"issueNoWorkers","No Workers"
"titleSettingsPanel","Building Settings"
"",""
"GROUP_SETTINGS_PANEL","Settings Panel"
"keyOpenSettingsPanel","Open Settings Panel"
"columnLocation","Location"
"pathingLocal","Local"
"tabPanels","Panels"
"txtCandidates","Candidates"
"txtBuildings","Buildings..."
"txtSelectBuildings","Select Buildings"
"txtSelectStartBuilding","Select Start Building"
"txtAlgorithm","Algorithm"
"txtDirection","Direction"
"txtForward","Forward"
"txtBackward","Backward"
"",""
"GROUP_PATH_DISTANCE_PANEL","Path Distance Panel"
"keyOpenPathDistancePanel","Open Path Distance Panel"
"txtPathDistanceCargoStationDelay","This option adjusts the travel time for the cargo station segment, within the algorithm, to take into account the transition between cargo vehicles."
"sliderCargoStationDelay","Cargo Station Delay"
"optionAddUnifiedUIbutton","Add Unified UI button"
"txtLocalVehicles","Local Vehicles"
"txtExternalVehicles","Outside Connection Vehicles"
"txtReturningVehicles","Returning to Facility"
"optionShowAllDistricts","Show All Districts"
"",""
"TransportTypePlane","Plane"
"TransportTypeShip","Ship"
"TransportTypeTrain","Train"
"TransportTypeRoad","Road"
