"Context","소스/번역"
"dropdownBalancedModeIncomingFirst","들어오는 것을 먼저 매치 (바닐라)"
"dropdownBalancedModeLeastFirst","최소 오퍼를 먼저 매치"
"dropdownBalancedModePassiveFirst","수동적인 항목을 먼저 매치"
"txtBalancedMatch","들어오는 오퍼와 나가는 오퍼의 우선순위가 같을 때 먼저 매치시킬 오퍼를 고르십시오."
"",""
"GROUP_PATH_DISTANCE","매치 거리 알고리즘"
"optionPathDistanceServices","서비스에 경로 거리 사용"
"optionPathDistanceGoods","상품에 경로 거리 사용"
"dropdownPathDistanceAlgorithmServices","서비스 알고리즘"
"dropdownPathDistanceAlgorithmGoods","상품 알고리즘"
"dropdownPathDistanceLOS","시선"
"dropdownPathDistanceConnectedLOS","연결된 시선"
"dropdownPathDistance","경로 거리"
"txtPathDistance","직선 거리 대신 경로 거리를 사용합니다. 이렇게 하면 더 나은 매치 결과가 나올 수 있지만 네트워크나 지형이 복잡한 경우 속도가 느려집니다. 따라서 컴퓨터가 이 옵션에 대해 충분히 빠른지 확인하십시오."
"optionHighlightMatches","하이라이트 매칭"
"listBuildingPanelOffersPark","공원"
"tabTransferRoadAccess","도로 접근 없음"
"btnResetRoadAccess","도로 접근 재설정"
"tabGame","게임"
"btnDeleteVehicle","차량 삭제"
"tabMaintenance","유지보수"
"GROUP_Maintenance","유지보수"
"btnReleaseGhostVehicles","유령 차량 해제"
"txtReleaseGhostVehicles","갇혔거나 유효한 위치 또는 상태가 없는 차량을 찾고 해제합니다."
"btnReleaseBrokenPathing","고장난 패스 해제"
"txtBrokenPathUnits","올바르게 해제되지 않았지만 사용되지 않는 경로 유닛을 찾아 적절하게 해제합니다."
"txtGhostVehiclesCount","해제된 유령 차량"
"",""
"GROUP_MAINTENANCE_PATHING","경로 디버깅"
"dropdownConnectionGraph","경로 연결 그래프 표시"
"dropdownConnectionGraphNone","없음"
"dropdownConnectionGraphGoods","상품"
"dropdownConnectionGraphPedestrianZoneServices","보행자 구역 서비스"
"dropdownConnectionGraphOtherServices","기타 서비스"
"txtShowConnectionGraph","이 옵션은 각 노드에 색을 입혀 Transfer Manager 알고리즘에 따라 연결되었는지의 여부를 보여줍니다. 같은 색상의 노드는 연결된 것이고, 다른 색상의 노드는 연결되지 않은 것입니다."
"",""
"tabBuildingPanelCapacity","용량"
"sliderTransferIssueDeadTimerValue","죽음 타이머 임계값"
"sliderTransferIssueSickTimerValue","아픔 타이머 임계값"
"sliderTransferIssueGoodsTimerValue","상품 타이머 임계값"
"",""
"GROUP_SICK_COLLECTION","아픈 시민 거두기"
"txtOverrideSickHandler","The vanilla sick handler has very little in game consequences, citizens will occasionally be forced to move home and very rarely a building will become abandoned. This option overrides the vanilla sick handler with a custom handler where citizens will often die if no ambulance arrives in time."
"optionOverrideSickHandler","Override Sick Handler"
"txtSickSadNotification","Display sad notification when there are sick to be collected but no normal sick issues with the building."
"optionDisplaySickNotification","Display Sad Notification"
"optionSickHelicopterRate","Helicopter Request Rate"
"txtSickHelicopterRate","How often will the citizens request a helicopter instead of an ambulance."
"optionSickWalkRate","Walk Request Rate"
"txtSickWalkRate","How often are the citizens willing to walk to the hospital instead of getting an ambulance."
"",""
"GROUP_CRIME","Crime"
"txtToughOnCrime","Increase police presence in the city to reduce crime rates"
"optionPoliceToughOnCrime","Tough on crime"
"",""
"GROUP_BUILDINGPANEL_BUILDING_RESTRICTIONS","건물 제한"
"btnBuildingRestrictions","건물들"
"btnBuildingRestrictionsSelected","건물 선택"
"txtBuildingRestrictionsIncoming","수신"
"txtBuildingRestrictionsOutgoing","수출"
"txtBuildingRestrictionsAllBuildings","모든 건물"
"txtBuildingRestrictionsRestricted","제한됨"
"txtAllowedBuildings","허용된 건물"
"btnClear","지우기"
"",""
"reasonGoodsIn","상품 수신"
"reasonStudent1","학생들 수"
"reasonStudent2","학생들 수"
"reasonStudent3","학생들 수"
"reasonCrime","범죄"
"reasonCrimeMove","범죄자 호송"
"reasonGarbage","쓰레기"
"reasonGarbageMove","쓰레기 수거"
"reasonGarbageTransfer","쓰레기 운반"
"reasonDead","사망자 운구"
"reasonDeadMove","사망자 운구"
"reasonSick","환자 이송"
"reasonSickMove","환자 이송"
"reasonFire","화재"
"reasonFire2","화재진압용 헬리콥터"
"reasonForestFire","산불"
"reasonMaterialOut","수출용 화물"
"reasonMail","우편물"
"reasonMail2","대형 우편물"
"reasonUnsortedMail","미분류 우편물"
"reasonSortedMail","분류된 우편물"
"reasonParkMaintenance","공원 관리"
"reasonRoadMaintenance","도로 관리"
"reasonTaxi","택시"
"reasonTaxiMove","택시 이동"
"reasonCollapsed","화물차들"
"reasonCollapsed2","헬리콥터"
"reasonRawMaterial","원자재"
"reasonIncomingMaterial","수입 화물"
"reasonOutgoingMaterial","수출용 화물"
"reasonWarehouse","저장소"
"reasonGoods","상품"
"reasonCash","현금 수송"
"reasonFloodWater","침수"
"reasonSnow","제설자 제설하기"
"reasonSnowMove","제설차 눈 버리기"
"",""
"tooltipHighlightModeOff","고속도로 모드: 끄기"
"tooltipHighlightModeMatches","하이라이트 모드: 매칭들\r\n\r\nKey\r\n빨강: 선택된 건물\r\n마젠타: 서비스\r\n시안: 원재료\r\n파랑: 상품\r\n초록: 우편\r\n노랑: 나머지"
"tooltipHighlightModeIssues","하이라이트 모드: 문제\r\n\r\nKey\r\n빨강: 선택된 건물\r\n시안, 금색: 낮은 우선순위\r\n파랑, 주황: 높은 우선순위\r\n초록: 이 문제 유형에 대한 다른 서비스 건물들"
"tooltipHighlightModeSettings","Highlight Mode: Settings\r\n\r\nKey\r\nRed: Building with settings."
"tooltipHighlightModeIssues2","Highlight Mode: Issues\r\n\r\nKey"
"",""
"GROUP_EXPORT_LIMITS","수출 차량 제한"
"sliderExportVehicleLimit","건물의 수출 차량 제한(%)"
"txtExportVehicleLimit","수출하려는 차량이 너무 많다고 판단이 될 때에는,  각 건물별로 수출차량의 비율을 조종할 수 있습니다.  \r\n0% = 수출 금지 \r\n100% = 제한 없음"
"optionImprovedWarehouseTransfer","개선된 창고 운송"
"",""
"GROUP_VISUALS","시각적"
"optionEnablePanelTransparency","투명한 패널 활성화 (재시작 필요)"
"optionOverrideGenericIndustriesHandler","일반 산업 처리방식 재정의"
"txtOverrideGenericIndustriesHandler","일반 산업 처리방식은 급하게 많은 자원을 요청해 많은 수의 트럭을 생성하고 자원을 독차지하는 경향이 있습니다. 이 처리방식은 이러한 문제를 수정하려고 시도합니다."
"",""
"GROUP_MAINTENANCE_LOGGING","매치 내역 기록"
"dropdownLoggingReason","로그 이유"
"txtMatchLogging","이 옵션을 선택하시면 각 일치 항목 집합에 대한 로그 파일을 기록합니다. 
경고: 옵션을 선택하시면 게임성능에 상당한 불이익이 발생합니다. 문제 해결 목적으로만 사용하도록 설정하십시오."
"txtMatchLoggingPath","로그 파일 경로:\r\n"
"optionShowBuildingId","제목에 건물 ID 보이기"
"optionLogCitizenPathFailures","시민 경로 찾기 실패 기록"
"txtLogCitizenPathFailureWarning","경고: 이 옵션은 일반적으로 많은 수의 경로 실패를 생성하며 건물의 경로 문제를 디버깅할 때에만 도움을 주기 위해 고안되었습니다."
"",""
"GROUP_PATH_FAIL_EXCLUSION","경로 실패"
"txtPathFailExclusion","경로 실패를 감지하고 이러한 실패 개체 간의 추가 매치를 잠시 동안 차단합니다."
"optionPathFailExclusion","경로 실패 제외"
"dropdownCandidates","로그 후보"
"dropdownAllCandidates","모든 후보"
"dropdownValidCandidates","유효한 후보"
"dropdownExcludedCandidates","제외된 후보"
"dropdownNoCandidates","후보 없음"
"sliderPathDistanceHeuristic","알고리즘 성능"
"txtPathDistanceHeuristic","경로의 거리를 구하는 알고리즘에 추정을 적용하면, 계산 속도를 높일 수 있지만 일부 상황에서 가장 가까운 경로를 고르는 정확도가 떨어질 수 있습니다."
"txtPathDistanceHeuristicKey","0% = 정확 (추정 없음), 100% = 빠름 (추정만 이용)"
"txtPathDistanceShift","경로 거리 알고리즘은 외부 연결 승수를 적용할 수 있게 알고리즘 외에서 외부 연결의 마지막 세그먼트에서의 이동 시간을 조정합니다. 이 값을 변경하면 이러한 세그먼트에 적용되는 기본 기준 값을 조정할 수 있습니다."
"sliderPathDistanceShift","승수 기본 값 (이동 시간)"
"txtPathUnitCount","패스 유닛 해제됨"
"txtEnterBuildingId","건물 선택 또는 건물 ID 입력"
"tooltipCopySettings","설정 복사"
"tooltipPasteSettings","설정 붙여넣기"
"tooltipClearSettings","설정 초기화"
"",""
"GROUP_TAXI_MOVE","택시 승차장 사용량"
"txtTaxiMove","이 옵션은 택시 정류장을 택시의 대기 장소가 아닌 허브로 만듭니다. 즉, 택시는 이제 아무 택시 정류장에서 기다리는 대신 공항이나 번화한 관광 지구 근처의 정류장에서 기다리게 됩니다."
"optionTaxiMove","택시 정류장 개선"
"sliderTaxiStandDelay","택시 정류장에 지연 추가"
"txtTaxiStandDelay","택시가 대기하고 있는 곳에서 택시를 타기 전 약간의 지연을 추가합니다. 이렇게 하면 택시 정류장에 방금 도착한 택시가 다른 시민을 태우기 위해 즉시 출발하는 것을 막을 수 있습니다."
"tabAdvanced","고급"
"",""
"GROUP_PATCHES","패치"
"txtAdvancedDescription","아래의 패치는 바닐라 게임 코드의 문제를 해결하기 위해 만들어졌습니다. 문제가 해결되지 않는 한 패치를 가급적 활성화한 상태로 두는 것이 좋습니다."
"",""
"GROUP_SPAWN_PATCHES","스폰 패치"
"optionForceCargoShipSpawn","외부 연결에서 화물선을 강제로 스폰시킵니다."
"optionForcePassengerShipSpawn","외부 연결에서 여객선을 강제로 스폰시킵니다."
"optionForceCargoPlaneSpawn","외부 연결에서 화물기를 강제로 스폰시킵니다."
"optionForcePassengerPlaneSpawn","외부 연결에서 여객기를 강제로 스폰시킵니다."
"optionForceAirportGateToSpawn","Airports DLC의 공항 게이트에서 여객기를 강제로 스폰시킵니다."
"optionForceCargoTrainDespawnOutsideConnections","외부 연결에서 화물 열차 트레일러를 강제로 디스폰시킵니다."
"optionForceCargoShipDespawnOutsideConnections","외부 연결에서 화물선을 강제로 디스폰시킵니다."
"optionForceCargoPlaneDespawnOutsideConnections","외부 연결에서 화물기를 강제로 디스폰시킵니다."
"",""
"GROUP_VEHICLE_PATCHES","차량 패치"
"optionFixCargoTrucksDisappearingOutsideConnections","화물차가 외부 연결에서 생성된 후 사라지는 문제를 수정합니다."
"optionResetStopMaxWaitTimeWhenNoPasengers","정류장에 승객이 없을 경우 최대 대기 시간을 재설정합니다."
"optionFixBankVansStuckCargoStations","화물역에 현금 수송 차량이 갇히는 문제를 수정합니다."
"optionFixPostVansStuckCargoStations","화물역에 우편 차량이 갇히는 문제를 수정합니다."
"optionFixTransportStationNullReferenceException","기차역의 null 참조 예외를 수정합니다."
"optionFixPostTruckCollectingMail","서비스 건물을 방문한 후 우편물을 수거하는 우편 트럭을 수정합니다."
"",""
"GROUP_WAREHOUSE_PATCHES","창고 패치"
"optionRemoveEmptyWarehouseLimit","비우기로 설정된 창고의 용량 제한을 제거합니다(재시작 필요)."
"optionFixFishWarehouses","어선이 물고기 창고에서 생성되게 수정합니다."
"",""
"GROUP_CARGO_WAREHOUSE_PATCHES","Cargo Warehouse Patches"
"optionFixCargoWarehouseExcludeFlag","화물 창고 오퍼에서 제외 플래그가 누락된 문제를 수정합니다(재시작 필요)."
"optionFixCargoWarehouseOfferRatio","더욱 균등한 사용을 위해 화물 창고 제공 비율을 수정합니다."
"optionFixCargoWarehouseAccessSegment","화물 창고 경로 문제(잘못된 접근 세그먼트)를 수정합니다."
"optionFixCargoWarehouseUnspawn","Fix cargo warehouse pathing issues (incorrect unspawn point)."
"",""
"GROUP_UNLIMITED","무재한 오퍼 금액"
"txtApplyUnlimited","최근 Cities: Skylines 업데이트에서 Colossal Order는 일반적으로 외부 연결을 위한 오퍼에 Unlimited 플래그를 도입했습니다. 이 플래그를 사용하면 오퍼가 모든 금액과 일치할 수 있으며, 이 옵션을 활성화하면 이 Transfer Manager도 이 플래그를 적용합니다."
"txtApplyUnlimitedWarning","경고: 새로운 창고가 외부 연결과 가까운 등의 경우 이 옵션을 사용하면 대량의 트래픽이 발생할 수 있습니다."
"optionApplyUnlimited","무제한 오퍼 플래그 적용"
"txtAdditionalDistricts","추가 지구"
"",""
"GROUP_INTERCITY_STOPS","시외버스 정류장"
"txtIntercityStopSpawnAtCount","기다리는 승객 수가 해당 값에 도달하면 차량을 강제로 스폰시킵니다.\r\n0 = 꺼짐"
"sliderForceTrainSpawnAtCount","기차를 기다리는 승객 수"
"sliderForceShipSpawnAtCount","배를 기다리는 승객 수"
"sliderForcePlaneSpawnAtCount","비행기를 기다리는 승객 수"
"sliderForceBusSpawnAtCount","버스를 기다리는 승객 수"
"",""
"optionFixFindHospital","ResidentAI.FindHospital 패치 (재시작 필요)."
"txtFindHospital","바닐라의 ResidentAI.FindHospital에는 병가, 노인 돌봄, 육아 돌봄 서비스를 망가뜨리는 심각한 버그가 있습니다."
"",""
"GROUP_OVEREDUCATED_WORKERS","Overeducated Workers"
"txtEmployOvereducatedWorkers","When this option is enabled, workers will occasionally apply for lower level jobs."
"optionEmployOverEducatedWorkers","Employ Overeducated Workers"
"",""
"GROUP_SICK_GENERATE","Sick Citizen Generatation"
"txtRandomSick","To increase hospital usage you can randomly make a citizen sick."
"txtRandomSickRate","Random Sick Rate"
"txtRandomSickRateScale","0 = OFF, 100 = Very High, 10000 = Very Low"
"",""
"sliderMainBuildingMaxMail","Main Building Max Mail"
"txtMainBuildingMaxMail","Main buildings collect all the mail for their areas. They have been created with a very low buffer limit of 2000, which results in constant demand for post vans to deliver mail. This option allows increasing their mail buffers so they will demand post vans less often."
"optionMainBuildingPostTruck","Use Post Trucks for Main Area Buildings"
"txtMainBuildingPostTruck","Post Trucks are used to collect mail from service points as they are less used and have larger mail capacity. This option will make them collect mail for main area buildings as well."
"",""
"GROUP_FIRETRUCK","Fire Truck"
"txtFiretruckExtinguishTrees","This option will make fire trucks extinguish nearby trees when putting out house fires."
"optionFiretruckExtinguishTrees","Fire Trucks Extinguish Trees"
"",""
"txtGlobalDistanceRestriction","Global Distance Restriction (km)"
"txtStatusHideVehicleReason","On the status tab of the building panel, hide the vehicles transfer reason when in a group. This option makes it easier to see what is happening on short lists but can be confusing on larger lists."
"optionStatusHideVehicleReason","Status Tab: Hide Vehicle Transfer Reason In Group"
"buttonResetPanelPosition","Reset Panel Position"
"columnPathFailureCount","Failure Count"
"columnId","Building ID"
"columnRestriction","Restrictions"
"issueGarbage","Garbage"
"issueIncoming","Incoming"
"issueOutgoing","Outgoing"
"issueNoServices","No Services"
"issueNoWorkers","No Workers"
"titleSettingsPanel","Building Settings"
"",""
"GROUP_SETTINGS_PANEL","Settings Panel"
"keyOpenSettingsPanel","Open Settings Panel"
"columnLocation","Location"
"pathingLocal","Local"
"tabPanels","Panels"
"txtCandidates","Candidates"
"txtBuildings","Buildings..."
"txtSelectBuildings","Select Buildings"
"txtSelectStartBuilding","Select Start Building"
"txtAlgorithm","Algorithm"
"txtDirection","Direction"
"txtForward","Forward"
"txtBackward","Backward"
"",""
"GROUP_PATH_DISTANCE_PANEL","Path Distance Panel"
"keyOpenPathDistancePanel","Open Path Distance Panel"
"txtPathDistanceCargoStationDelay","This option adjusts the travel time for the cargo station segment, within the algorithm, to take into account the transition between cargo vehicles."
"sliderCargoStationDelay","Cargo Station Delay"
"optionAddUnifiedUIbutton","Add Unified UI button"
"txtLocalVehicles","Local Vehicles"
"txtExternalVehicles","Outside Connection Vehicles"
"txtReturningVehicles","Returning to Facility"
"optionShowAllDistricts","Show All Districts"
"",""
"TransportTypePlane","비행기"
"TransportTypeShip","선박"
"TransportTypeTrain","기차"
"TransportTypeRoad","도로"
