"Context","来源/翻译"
"btnResetTransferManagerSettings","重置所有设置"
"btnResetPathingStatistics","重置车辆寻路"
"buttonResetTransferStatistics","重置运输统计"
"tabBuildingPanelSettings","设置"
"",""
"GROUP_BUILDINGPANEL_SERVICES","服务选项"
"",""
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","外部连接"
"dropdownBuildingPanelImportExport","进口/出口"
"",""
"GROUP_BUILDINGPANEL_OUTSIDE_PRIORITY","外部连接优先级"
"txtOutsideConnectionCurrentCargoPriority","当前货物优先级"
"txtOutsideConnectionCurrentCitizenPriority","当前市民优先级"
"",""
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","货运选项"
"chkBuildingPanelReserveWarehouseTrucks","为本地货运预留仓库卡车"
"",""
"tabBuildingPanelStatus","状态"
"tabBuildingPanelStops","站点"
"tabBuildingPanelTransfers","运输"
"",""
"listBuildingPanelStatusColumn1","材料"
"listBuildingPanelStatusColumn2","数值"
"listBuildingPanelStatusColumn3","响应者"
"listBuildingPanelStatusColumn4","车辆"
"listBuildingPanelStatusColumn5","时长"
"",""
"labelBuildingPanelOffers","传输需求"
"labelBuildingPanelMatchOffers","匹配"
"listBuildingPanelOffersColumn1","进/出口"
"listBuildingPanelOffersColumn2","材料"
"listBuildingPanelOffersColumn3","优先级"
"listBuildingPanelOffersColumn4","发/接车"
"listBuildingPanelOffersColumn5","数量"
"listBuildingPanelOffersColumn6","描述"
"listBuildingPanelMatchesColumn1","时间"
"listBuildingPanelMatchesColumn2","材料"
"listBuildingPanelMatchesColumn3","发/接车"
"listBuildingPanelMatchesColumn4","数量"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","描述"
"titleTransferIssuesPanel","传输问题"
"tabTransferIssuesPathing","寻路"
"tabTransferIssues","问题"
"listPathingColumn1","时间"
"listPathingColumn2","来源"
"listPathingColumn3","目标"
"tabTransferIssuesDead","死亡"
"txtIssue","问题"
"listDeadColumn1","死亡"
"listDeadColumn2","时长"
"listDeadColumn3","来源"
"listDeadColumn4","目标"
"listDeadColumn5","车辆"
"tabTransferIssuesSick","生病"
"listSickColumn1","生病"
"listBuildingPanelVehicleTarget","目标"
"dropdownBuildingPanelPreferLocalLabel","区域限制"
"dropdownBuildingPanelPreferLocal1","向所有区域提供服务"
"dropdownBuildingPanelPreferLocal2","优先本区划"
"dropdownBuildingPanelPreferLocal3","仅限本区划"
"dropdownBuildingPanelPreferLocal4","所有区划，除以下："
"tabTransferIssuesOutside","外部"
"",""
"GROUP_BUILDING_PANEL","建筑物面板"
"keyOpenBuildingPanel","打开建筑物面板"
"",""
"GROUP_LOCALISATION","本地化"
"dropdownLocalization","语言"
"tabBuildingPanelVehicles","车辆"
"txtBuildingPanelTransferManagerWarning","警告：设置前需开启 “自定义运输管理器”"
"tabTransferIssuesGoods","货物进口"
"tabTransferIssuesGoodsOut","货物出口"
"chkShowIssuesWithVehicles","显示已发车的问题"
"",""
"GROUP_BUILDINGPANEL_DISTRICT","区划限制"
"dropdownBuildingPanelOutgoingPreferLocalLabel","出口"
"dropdownBuildingPanelIncomingPreferLocalLabel","进口"
"chkAllowImport","允许进口"
"chkAllowExport","允许出口"
"",""
"GROUP_BUILDINGPANEL_APPLYTOALL","应用于全部同类建筑"
"txtApplyToBuilding","应用到建筑"
"tabExperimental","实验性的"
"chkDistrictAllowServices","允许服务（垃圾、火灾、警察......）"
"",""
"GROUP_DISTANCE_LIMITS","距离限制"
"tabDistanceRestrictions","距离"
"sliderDeathcareDistanceLimits","殡葬服务距离限制 (km)"
"sliderHealthcareDistanceLimits","医疗服务距离限制 (km)"
"sliderGarbageDistanceLimits","垃圾收集距离限制 (km)"
"sliderPoliceDistanceLimits","警局距离限制 (km)"
"sliderFireDistanceLimits","消防距离限制 (km)"
"sliderMailDistanceLimits","邮件距离限制 (km)"
"txtDistanceLimits","允许的最大匹配距离，0 = 无限。\r\n进口/出口不受影响。"
"tabVehicleAI","车辆AI"
"",""
"GROUP_VEHICLE_AI","启用/关闭 车辆AI"
"optionFireTruckAI","消防车"
"optionFireCopterAI","消防直升机"
"optionPostVanAI","邮政货车"
"optionGarbageTruckAI","垃圾车"
"optionPoliceCarAI","警车"
"optionPoliceCopterAI","警用直升机"
"txtVehicleAIDescription","车辆AI增强了车辆寻找附近待解决问题的能力，例如当消防车结束一次灭火任务后，他会顺便寻找周围区域发生的其他火灾的地区并前往扑灭。"
"tabImportExport","进口/出口"
"",""
"GROUP_IMPORT_RESTRICTIONS","允许进口"
"txtImportRestrictions","在停止进口以下资源之前请确保城市能够自给自足"
"sliderWarehouseReservePercent","用于本地配送的预留卡车(%)"
"sliderWarehouseReservePercentLocal","预留卡车(%)"
"",""
"GROUP_DUMMY_TRAFFIC","虚拟流量"
"optionDummyTraffic","禁用虚拟流量"
"txtDummyTraffic","该选项将屏蔽游戏生成的虚拟交通流量（A外部连接→B外部连接的车流），从而有效降低城市道路负荷。默认情况下，系统会生成虚拟车辆以增强城市活力感，此功能可拦截此类无效交通请求。"
"optionWarehouseOverride","覆盖全局设置"
"",""
"GROUP_OUTSIDE_CONNECTIONS_PANEL","外部连接面板"
"listConnectionName","名称"
"listConnectionType","类型"
"listConnectionInOut","进出口"
"listConnectionUsage","使用情况"
"listConnectionGuest","外来车辆"
"listConnectionOwn","自有车辆"
"listConnectionStuck","卡住的"
"listConnectionCargoPriority","货物"
"listConnectionCitizenPriority","市民"
"listConnectionImport","进口"
"listConnectionExport","出口"
"titleOutsideConnectionPanel","外部连接"
"keyOpenOutsidePanel","打开外部连接面板"
"txtDetectedDistricts","检测到的区划"
"btnDistricts","区划"
"btnDistrict","区划"
"btnPark","区域"
"btnMap","地图"
"txtNone","无"
"txtVehiclesNone","无"
"txtStatusNone","无"
"",""
"GROUP_BUILDINGPANEL_DISTANCE_RESTRICTIONS","距离限制"
"sliderDistanceRestriction","最大匹配距离（公里）"
"sliderDistanceRestrictionTooltip","该值 =0 时使用全局设置。\r\n 不为0时即为最大匹配距离"
"titleDistrictPanel","选择区划"
"txtAllowedDistricts","允许的区划"
"txtBlockedDistricts","被屏蔽的区划"
"txtCurrentDistrict","当前区划"
"txtCurrentPark","当前区域"
"txtLoad","载入"
"",""
"GROUP_IMPROVED_SERVICES_MATCHING","优化服务匹配策略"
"tabMatches","匹配"
"titleTransferStatsPanel","运输管理器统计"
"sliderOutsideCargoCapacity","货车量上限"
"sliderOutsideResidentCapacity","居民数量上限"
"sliderOutsideTouristFactor0","低收入游客因子"
"sliderOutsideTouristFactor1","中收入游客因子"
"sliderOutsideTouristFactor2","高收入游客因子"
"sliderOutsideDummyTrafficFactor","虚拟流量因子"
"btnOutsideReset","重置"
"",""
"GROUP_OUTSIDE_SETTINGS","外部连接参数"
"",""
"GROUP_BALANCED_MATCH_MODE","买入-卖出优先级相同时的匹配策略"
"dropdownBalancedTitle","优先级相同时优先选择哪一方"
"dropdownBalancedModeIncomingFirst","买入一方优先选择（默认）"
"dropdownBalancedModeLeastFirst","买入-卖出数量较少一方优先"
"dropdownBalancedModePassiveFirst","被动匹配的一方优先"
"txtBalancedMatch","选择在买入-卖出优先级相同时，哪一方优先做选择。"
"",""
"GROUP_PATH_DISTANCE","距离计算算法"
"optionPathDistanceServices","让各项服务使用路径距离"
"optionPathDistanceGoods","让商品运输使用路径距离"
"dropdownPathDistanceAlgorithmServices","服务算法"
"dropdownPathDistanceAlgorithmGoods","货物算法"
"dropdownPathDistanceLOS","视线"
"dropdownPathDistanceConnectedLOS","已连接的视线"
"dropdownPathDistance","路径距离"
"txtPathDistance","该选项将采用实际路径距离替代直线距离进行寻路计算，在路网结构复杂或存在地形障碍时能生成更优路线匹配，但会导致性能损耗提升。启用前请务必确保您的计算机硬件配置足够强劲以承受额外运算负荷。"
"optionHighlightMatches","高亮匹配"
"listBuildingPanelOffersPark","公园"
"tabTransferRoadAccess","没有道路访问"
"btnResetRoadAccess","重置道路访问"
"tabGame","游戏"
"btnDeleteVehicle","删除车辆"
"tabMaintenance","系统维护"
"GROUP_Maintenance","系统维护"
"btnReleaseGhostVehicles","重置幽灵车辆"
"txtReleaseGhostVehicles","该功能将自动检测并强制回收卡死无法移动、坐标位置失效、状态数据异常的车辆。"
"btnReleaseBrokenPathing","清除寻路失败的对象"
"txtBrokenPathUnits","该功能将自动定位并彻底释放未正确释放的路径计算单元。"
"txtGhostVehiclesCount","幽灵车辆已重置"
"",""
"GROUP_MAINTENANCE_PATHING","路径调试"
"dropdownConnectionGraph","显示路径连接图"
"dropdownConnectionGraphNone","无"
"dropdownConnectionGraphGoods","货物"
"dropdownConnectionGraphPedestrianZoneServices","步行区服务"
"dropdownConnectionGraphOtherServices","其他服务"
"txtShowConnectionGraph","该选项将根据运输管理器的算法为每个节点着色，显示这些节点是否已经连接。颜色相同的节点为已连接节点，颜色不同的节点为未连接节点。"
"",""
"tabBuildingPanelCapacity","容量"
"sliderTransferIssueDeadTimerValue","殡葬服务超时阈值"
"sliderTransferIssueSickTimerValue","疾病服务超时阈值"
"sliderTransferIssueGoodsTimerValue","货运超时阈值"
"",""
"GROUP_SICK_COLLECTION","患病居民救治"
"txtOverrideSickHandler","游戏原版疾病处理机制带来的后果非常轻微：市民偶尔会被迫回家休养，建筑物极少会被废弃。此选项将用一个自定义处理机制覆盖原版机制：如果救护车未能及时抵达，市民们将会经常死亡。"
"optionOverrideSickHandler","覆盖原版疾病处理机制"
"txtSickSadNotification","当建筑存在待收治病患但自身无健康问题时，显示患病通知。"
"optionDisplaySickNotification","显示患病通知"
"optionSickHelicopterRate","医疗直升机请求率"
"txtSickHelicopterRate","市民需要医疗直升机而非救护车的频率。"
"optionSickWalkRate","步行请求率"
"txtSickWalkRate","市民愿意步行前往医院而不是使用救护车的频率。"
"",""
"GROUP_CRIME","犯罪"
"txtToughOnCrime","增加警察存在感以降低犯罪率"
"optionPoliceToughOnCrime","严厉打击犯罪"
"",""
"GROUP_BUILDINGPANEL_BUILDING_RESTRICTIONS","建筑限制"
"btnBuildingRestrictions","建筑..."
"btnBuildingRestrictionsSelected","选择建筑"
"txtBuildingRestrictionsIncoming","输入"
"txtBuildingRestrictionsOutgoing","输出"
"txtBuildingRestrictionsAllBuildings","所有建筑"
"txtBuildingRestrictionsRestricted","受限的"
"txtAllowedBuildings","允许的建筑"
"btnClear","清除"
"",""
"reasonGoodsIn","输入的商品"
"reasonStudent1","学生"
"reasonStudent2","学生"
"reasonStudent3","学生"
"reasonCrime","罪犯"
"reasonCrimeMove","运送罪犯"
"reasonGarbage","垃圾"
"reasonGarbageMove","垃圾运送"
"reasonGarbageTransfer","垃圾运输"
"reasonDead","接收死者"
"reasonDeadMove","运送死者"
"reasonSick","接收病人"
"reasonSickMove","运送病人"
"reasonFire","火灾"
"reasonFire2","消防直升机"
"reasonForestFire","森林火灾"
"reasonMaterialOut","出口材料"
"reasonMail","邮件"
"reasonMail2","大型邮件"
"reasonUnsortedMail","未分类的邮件"
"reasonSortedMail","已分类的邮件"
"reasonParkMaintenance","公园维护"
"reasonRoadMaintenance","道路维护"
"reasonTaxi","出租车"
"reasonTaxiMove","出租车的移动"
"reasonCollapsed","货车"
"reasonCollapsed2","直升机"
"reasonRawMaterial","原料"
"reasonIncomingMaterial","进口的材料"
"reasonOutgoingMaterial","出口的材料"
"reasonWarehouse","存储空间"
"reasonGoods","货物"
"reasonCash","现金收集"
"reasonFloodWater","洪水"
"reasonSnow","收集积雪"
"reasonSnowMove","运送积雪"
"",""
"tooltipHighlightModeOff","高亮模式：关闭"
"tooltipHighlightModeMatches","高亮模式：匹配\r\n\r\n对应关系\r\n红色：选定建筑\r\n品红：服务\r\n青色：原材料\r\n蓝色：商品\r\n绿色：邮件\r\n黄色：其他"
"tooltipHighlightModeIssues","高亮模式：问题\r\n\r\n对应关系\r\n红色：选定建筑\r\n青色和金色：低优先级\r\n蓝色和橙色：高优先级\r\n绿色：此问题类型的其他服务建筑"
"tooltipHighlightModeSettings","高亮模式：设置\r\n\r\n对应关系\r\n红色：有单独设置的建筑。"
"tooltipHighlightModeIssues2","高亮模式：设置\r\n\r\n对应关系"
"",""
"GROUP_EXPORT_LIMITS","出口车辆限制"
"sliderExportVehicleLimit","建筑输出车辆限制(%)"
"txtExportVehicleLimit","如果您的外部连接过于繁忙， 您可以使用此设置来限制每个建筑物可以出口的车辆数量。\r\n0% = 不允许出口\r\n100% = 不受限制"
"optionImprovedWarehouseTransfer","优化仓库间调货策略"
"",""
"GROUP_VISUALS","视觉效果"
"optionEnablePanelTransparency","启用面板透明(需要重启游戏)"
"optionOverrideGenericIndustriesHandler","替换原版工业货运机制"
"txtOverrideGenericIndustriesHandler","该优化模块将重构普通工业区物流算法，针对性解决原版工业区因无节制紧急原料申请导致的交通拥堵与资源垄断问题。"
"",""
"GROUP_MAINTENANCE_LOGGING","匹配日志集"
"dropdownLoggingReason","日志的原因"
"txtMatchLogging","此选项将根据所选原因，写入相应内容到日志文件中。 警告：这会导致严重的性能负担，只能用于故障排查。"
"txtMatchLoggingPath","日志文件路径：\r\n"
"optionShowBuildingId","在标题中显示建筑 ID"
"optionLogCitizenPathFailures","将市民寻路失败的事件写入日志"
"txtLogCitizenPathFailureWarning","警告：启用此选项后，日志中通常会出现大量寻路失败的记录，因此请仅在排除建筑物路径问题时使用此选项。"
"",""
"GROUP_PATH_FAIL_EXCLUSION","寻路错误"
"txtPathFailExclusion","检测发生了寻路错误的对象，并暂时禁止它们参与匹配"
"optionPathFailExclusion","寻路错误排除"
"dropdownCandidates","记录候选项"
"dropdownAllCandidates","所有候选项"
"dropdownValidCandidates","有效候选项"
"dropdownExcludedCandidates","被排除的候选"
"dropdownNoCandidates","没有候选项"
"sliderPathDistanceHeuristic","算法性能"
"txtPathDistanceHeuristic","路径距离算法可启用启发式加速计算，但该优化可能导致特定场景下最近距离匹配精度下降。"
"txtPathDistanceHeuristicKey","0% = 精准模式（无启发式），100% = 极速模式（纯启发式）"
"txtPathDistanceShift","该路径距离算法将调整外部连接点末段路径的通行耗时计算（在算法内部处理），以实现外部连接倍率的应用。通过修改此参数，您可调节作用于这些路段的基础参考值，从而精准控制城际物流效率。"
"sliderPathDistanceShift","倍数基本值（旅行时间）"
"txtPathUnitCount","已释放路径单元"
"txtEnterBuildingId","选择建筑或输入建筑 ID"
"tooltipCopySettings","复制设定"
"tooltipPasteSettings","粘贴设定"
"tooltipClearSettings","清除设置"
"",""
"GROUP_TAXI_MOVE","出租车站点使用情况"
"txtTaxiMove","该选项将出租车服务的调度枢纽从车库转移至等候站。这意味着出租车将驻留在机场或热门景区附近的等候站待命，而非闲置在车库中。"
"optionTaxiMove","优化出租车站点的使用情况"
"sliderTaxiStandDelay","出租车站点的等待"
"txtTaxiStandDelay","该选项将为等候站的出租车增设接单延迟响应机制。具体表现为：出租车在等候站停靠后，需经短暂等待期才可接收新的乘客订单，从而杜绝出租车""前脚刚进站，后脚又被派走""的无效调度循环。"
"tabAdvanced","高级选项"
"",""
"GROUP_PATCHES","修补"
"txtAdvancedDescription","这些修补补丁旨在修复原版游戏代码中影响运输的问题。建议启用这些修补补丁，除非您正在排除故障。"
"",""
"GROUP_SPAWN_PATCHES","载具生成选项"
"optionForceCargoShipSpawn","在对外连接处强制货运轮船生成。"
"optionForcePassengerShipSpawn","在对外连接处强制客运轮船生成。"
"optionForceCargoPlaneSpawn","在对外连接处强制货运飞机生成。"
"optionForcePassengerPlaneSpawn","在对外连接处强制客运飞机生成。"
"optionForceAirportGateToSpawn","在机场 DLC 登机口处强制客运飞机生成。"
"optionForceCargoTrainDespawnOutsideConnections","在对外连接处强制货运火车消失。"
"optionForceCargoShipDespawnOutsideConnections","在对外连接处强制货运轮船消失。"
"optionForceCargoPlaneDespawnOutsideConnections","在对外连接处强制货运飞机消失。"
"",""
"GROUP_VEHICLE_PATCHES","载具修补选项"
"optionFixCargoTrucksDisappearingOutsideConnections","修复货运卡车在对外连接处生成，随后又消失的问题。"
"optionResetStopMaxWaitTimeWhenNoPasengers","如果没有乘客在公共交通站点等候，重置该站点最大等候时间。"
"optionFixBankVansStuckCargoStations","修复银行运钞车在货运设施站点卡住的问题。"
"optionFixPostVansStuckCargoStations","修复邮政车辆在货运设施站点卡住的问题。"
"optionFixTransportStationNullReferenceException","修复公共交通站点的 null reference 错误。"
"optionFixPostTruckCollectingMail","修复邮政车辆在访问服务点后收集邮件的问题。"
"",""
"GROUP_WAREHOUSE_PATCHES","仓库修补选项"
"optionRemoveEmptyWarehouseLimit","移除空置模式仓库的容量限制（需要重启游戏）。"
"optionFixFishWarehouses","修复鱼类仓库生成渔船的问题。"
"",""
"GROUP_CARGO_WAREHOUSE_PATCHES","仓库修补选项"
"optionFixCargoWarehouseExcludeFlag","修复货物仓库报价缺少 exclude 标签的问题（需要重启游戏）。"
"optionFixCargoWarehouseOfferRatio","修复货物仓库的报价比例，使其使用率更均衡。"
"optionFixCargoWarehouseAccessSegment","修复货物仓库寻路问题（路段访问不正确）。"
"optionFixCargoWarehouseUnspawn","修复货运仓库寻路问题（修正错误的卸载位置）。"
"",""
"GROUP_UNLIMITED","无限报价金额"
"txtApplyUnlimited","在最近的 Cities Skylines 更新中，Colossal Order 向报价引入了 ""无限"" 标记，通常用于对外连接的交易中。该标记允许报价匹配到任何金额。启用该选项后，Transfer Manager 也会应用该标记。"
"txtApplyUnlimitedWarning","警告：当新仓库与对外连接匹配时，该选项可能会产生大量流量。"
"optionApplyUnlimited","应用无限报价标志"
"txtAdditionalDistricts","其它区划"
"",""
"GROUP_INTERCITY_STOPS","城际站点强制生成选项"
"txtIntercityStopSpawnAtCount","当乘客数达到该值时，强制载具生成。\r\n0= 关闭"
"sliderForceTrainSpawnAtCount","火车等待乘客数"
"sliderForceShipSpawnAtCount","游船等待乘客数"
"sliderForcePlaneSpawnAtCount","飞机等待乘客数"
"sliderForceBusSpawnAtCount","城际公交等待乘客数"
"",""
"optionFixFindHospital","ResidentAI.FindHospital 补丁（需要重新启动）"
"txtFindHospital","游戏原版""ResidentAI.FindHospital""中存在一个严重漏洞，会导致医院、养老院和儿童健康中心服务失效。"
"",""
"GROUP_OVEREDUCATED_WORKERS","受过度教育的工人"
"txtEmployOvereducatedWorkers","启用此选项后，工人将偶尔申请较低级别的工作。"
"optionEmployOverEducatedWorkers","雇佣受过度教育的工人"
"",""
"GROUP_SICK_GENERATE","患病公民生成"
"txtRandomSick","为了增加医院的使用率，您可以随机使公民生病。"
"txtRandomSickRate","随机患病率"
"txtRandomSickRateScale","0 = 关闭，100 = 非常高，10000 = 非常低"
"",""
"sliderMainBuildingMaxMail","区域主建筑邮件上限"
"txtMainBuildingMaxMail","区域主建筑负责收集其范围内的所有邮件。这些建筑初始设置的缓冲区上限极低（仅为2000），导致需要频繁调度邮政卡车进行邮件派送。此选项允许增大其邮件缓冲区上限，从而减少邮政卡车的调度频率。"
"optionMainBuildingPostTruck","将邮政卡车用于区域主建筑"
"txtMainBuildingPostTruck","邮政卡车用于从服务点收取邮件（因其利用率较低且运载量更大）。此选项将使其同时承担为区域主建筑收件的功能。"
"",""
"GROUP_FIRETRUCK","消防车"
"txtFiretruckExtinguishTrees","此选项将使消防车在扑灭火灾时扑灭附近的树木。"
"optionFiretruckExtinguishTrees","消防车可以针对树木"
"",""
"txtGlobalDistanceRestriction","全局距离限制 (km)"
"txtStatusHideVehicleReason","在建筑信息面板的“状态”标签页中，当处于分组模式时隐藏车辆的转移原因。此选项可使精简列表更易阅读，但在大型列表中可能造成混淆。"
"optionStatusHideVehicleReason","状态标签页：分组状态下隐藏车辆转移原因"
"buttonResetPanelPosition","重置面板位置"
"columnPathFailureCount","寻路失败次数"
"columnId","建筑物 ID"
"columnRestriction","限制"
"issueGarbage","垃圾"
"issueIncoming","进口"
"issueOutgoing","出口"
"issueNoServices","无服务"
"issueNoWorkers","无工人"
"titleSettingsPanel","建筑设置"
"",""
"GROUP_SETTINGS_PANEL","设置面板"
"keyOpenSettingsPanel","打开设置面板"
"columnLocation","位置"
"pathingLocal","Local"
"tabPanels","Panels"
"txtCandidates","Candidates"
"txtBuildings","建筑……"
"txtSelectBuildings","选择建筑"
"txtSelectStartBuilding","选择开始建筑"
"txtAlgorithm","算法"
"txtDirection","Direction"
"txtForward","Forward"
"txtBackward","Backward"
"",""
"GROUP_PATH_DISTANCE_PANEL","路径距离面板"
"keyOpenPathDistancePanel","打开路径距离面板"
"txtPathDistanceCargoStationDelay","本选项将调整算法中货运站路段的通行耗时计算规则，以计入货物在不同运输载具间的转换耗时。"
"sliderCargoStationDelay","货运站延迟"
"optionAddUnifiedUIbutton","在Unified UI中添加按钮"
"txtLocalVehicles","本地车辆"
"txtExternalVehicles","外部连接车辆"
"txtReturningVehicles","返回到设施"
"optionShowAllDistricts","显示所有区域"
"",""
"TransportTypePlane","飞机"
"TransportTypeShip","船只"
"TransportTypeTrain","火车"
"TransportTypeRoad","道路"
